,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
特征值,3.209,2.074,1.845,1.395,1.319,1.278,1.188,1.11,1.063,1.006,0.994,0.955,0.924,0.859,0.835,0.812,0.733,0.685,0.657,0.642,0.584,0.569,0.523,0.453,0.43,0.4,0.386,0.362,0.311,0.293,0.253,0.226,0.202,0.188,0.152,0.122,0.116
方差贡献率（%）,27.831,11.631,9.196,5.258,4.705,4.413,3.815,3.328,3.057,2.737,2.672,2.465,2.306,1.992,1.884,1.78,1.453,1.267,1.165,1.114,0.923,0.874,0.739,0.555,0.5,0.432,0.402,0.353,0.261,0.232,0.173,0.138,0.11,0.096,0.062,0.04,0.037
累计方差贡献率（%）,27.831,39.462,48.659,53.916,58.622,63.035,66.85,70.178,73.235,75.972,78.645,81.11,83.416,85.408,87.292,89.072,90.525,91.793,92.958,94.072,94.995,95.869,96.608,97.163,97.663,98.095,98.497,98.851,99.112,99.344,99.517,99.655,99.765,99.861,99.923,99.963,100
